Statistics Canada, CANSIM using CHASS.
,
COL0,Date (YYYY-MM-DD)
COL1,v687251 Ontario; Gross domestic product (GDP) at market prices *Terminated*
,
COL0,COL1
,
1981,131064
1982,138741
1983,154682
1984,172842
1985,189125
1986,208460
1987,230778
1988,256441
1989,278791
1990,282834
1991,283094
1992,286493
1993,293405
1994,311096
1995,329317
1996,338173
1997,359353
1998,377897
1999,409020
2000,440759
2001,453701
2002,477763
2003,493081
2004,516106
2005,537383
2006,560576
2007,583946
2008,587055
2009,581635
2010,612494
