Statistics Canada, CANSIM using CHASS.
,
COL0,Date (YYYY-MM-DD)
COL1,v687299 British Columbia; Gross domestic product (GDP) at market prices *Terminated*
,
COL0,COL1
,
1981,44869
1982,45024
1983,47477
1984,49840
1985,53540
1986,56547
1987,62515
1988,69408
1989,75582
1990,79350
1991,81849
1992,87242
1993,94077
1994,100512
1995,105670
1996,108865
1997,114383
1998,115641
1999,120921
2000,131333
2001,133514
2002,138193
2003,145642
2004,157675
2005,169664
2006,182251
2007,192117
2008,199441
2009,191863
2010,203147
