Statistics Canada, CANSIM using CHASS.

"COL0","Date (YYYY-MM-DD)"
"COL1","v15855724 Ontario; Chained (2002) dollars; Gross domestic product (GDP) *Terminated*"

"COL0","COL1"

1981,251445000000
1982,244652000000
1983,255630000000
1984,275906000000
1985,287400000000
1986,299125000000
1987,314100000000
1988,330988000000
1989,342136000000
1990,336227000000
1991,323008000000
1992,325941000000
1993,329057000000
1994,348503000000
1995,360789000000
1996,364762000000
1997,381235000000
1998,399655000000
1999,429697000000
2000,455234000000
2001,463357000000
2002,477763000000
2003,484341000000
2004,496780000000
2005,510509000000
2006,522998000000
2007,533233000000
2008,529828000000
2009,512685000000
2010,527813000000


